date,time,inside,outside
2020-06-03,04:22:54,0,0
2020-06-03,04:22:55,0,0
2020-06-03,04:22:56,0,0
2020-06-03,04:22:57,0,0
2020-06-03,04:22:58,0,0
2020-06-03,04:23:01,0,0
2020-06-03,04:23:02,0,0
2020-06-03,04:23:03,0,0
2020-06-03,04:23:06,0,0
2020-06-03,04:23:07,0,0
2020-06-03,04:23:08,1,0
2020-06-03,04:23:09,1,0
2020-06-03,04:23:10,1,0
2020-06-03,04:23:11,1,0
2020-06-03,04:23:12,1,0
2020-06-03,04:23:13,1,0
2020-06-03,04:23:14,1,0
2020-06-03,04:23:15,1,0
2020-06-03,04:23:16,2,0
2020-06-03,04:23:17,2,0
2020-06-03,04:23:18,4,0
2020-06-03,04:23:19,4,0
2020-06-03,04:23:20,4,0
2020-06-03,04:23:21,4,0
2020-06-03,04:23:22,4,0
2020-06-03,04:23:23,4,0
2020-06-03,04:23:24,4,2
2020-06-03,04:23:25,4,2
2020-06-03,04:23:26,4,2
2020-06-03,04:23:27,5,2
2020-06-03,04:23:28,5,2
2020-06-03,04:23:29,5,2
2020-06-03,04:23:30,5,2
2020-06-03,04:23:31,5,2
2020-06-03,04:23:32,5,2
2020-06-03,04:23:33,5,2
2020-06-03,04:23:34,5,2
2020-06-03,04:23:35,7,3
2020-06-03,04:23:36,7,3
2020-06-03,04:23:37,7,3
2020-06-03,04:23:38,7,3
2020-06-03,04:23:39,7,3
2020-06-03,04:23:40,7,3
2020-06-03,04:23:41,7,3
2020-06-03,04:28:05,0,0
2020-06-03,04:28:06,0,0
2020-06-03,04:29:22,0,0
2020-06-03,04:29:23,0,0
2020-06-03,04:30:04,0,0
2020-06-03,04:30:07,0,0
2020-06-03,04:30:08,0,0
2020-06-03,04:30:09,0,0
2020-06-03,04:30:10,0,0
2020-06-03,04:30:11,0,0
2020-06-03,04:30:12,0,0
2020-06-03,04:30:13,0,0
2020-06-03,04:30:14,0,0
2020-06-03,04:30:15,0,0
2020-06-03,04:30:16,0,0
2020-06-03,04:30:17,0,0
2020-06-03,04:30:18,0,0
2020-06-03,04:30:19,0,0
2020-06-03,04:30:20,0,0
2020-06-03,04:30:21,0,0
2020-06-03,04:30:22,0,0
2020-06-03,04:30:23,0,0
2020-06-03,04:30:24,0,0
2020-06-03,04:30:25,0,0
2020-06-03,04:30:26,0,0
2020-06-03,04:30:27,0,0
2020-06-03,04:30:28,0,0
2020-06-03,04:30:29,0,0
2020-06-03,04:30:30,0,0
2020-06-03,04:30:31,0,0
2020-06-03,04:30:32,0,0
2020-06-03,04:30:33,0,0
2020-06-03,04:30:34,0,0
2020-06-03,04:30:35,0,0
2020-06-03,04:30:36,0,0
2020-06-03,04:30:37,0,0
2020-06-03,04:30:38,0,0
2020-06-03,04:30:39,0,0
2020-06-03,04:30:40,0,0
2020-06-03,04:30:41,0,0
2020-06-03,04:30:42,0,0
2020-06-03,04:30:43,0,0
2020-06-03,04:30:44,0,0
2020-06-03,04:30:45,0,0
2020-06-03,04:30:46,0,0
2020-06-03,04:30:47,0,0
2020-06-03,04:30:48,0,0
2020-06-03,04:30:49,0,0
2020-06-03,04:30:50,0,0
2020-06-03,04:30:51,0,0
2020-06-03,04:30:52,0,0
2020-06-03,04:30:53,0,0
2020-06-03,04:32:08,0,0
2020-06-03,04:32:09,0,0
2020-06-03,04:32:10,0,0
2020-06-03,04:32:11,0,0
2020-06-03,04:32:12,0,0
2020-06-03,04:32:13,0,0
2020-06-03,04:32:14,0,0
2020-06-03,04:32:15,0,0
2020-06-03,04:32:16,0,0
2020-06-03,04:32:17,0,0
2020-06-03,04:32:18,0,0
2020-06-03,04:32:19,0,0
2020-06-03,04:32:20,0,0
2020-06-03,04:32:21,0,0
2020-06-03,04:32:22,0,0
2020-06-03,04:32:23,0,0
2020-06-03,04:32:24,0,0
2020-06-03,04:32:25,0,0
2020-06-03,04:32:26,0,0
2020-06-03,04:32:27,0,0
2020-06-03,04:32:28,0,0
2020-06-03,04:32:29,0,0
2020-06-03,04:32:30,0,0
2020-06-03,04:32:31,0,0
2020-06-03,04:32:32,0,0
2020-06-03,04:32:33,0,0
2020-06-03,04:32:34,0,0
2020-06-03,04:32:35,0,0
2020-06-03,04:32:36,0,0
2020-06-03,04:32:37,0,0
2020-06-03,04:32:38,0,0
2020-06-03,04:32:39,0,0
2020-06-03,04:32:40,0,0
2020-06-03,04:32:41,0,0
2020-06-03,04:32:42,0,0
2020-06-03,04:32:43,0,0
2020-06-03,04:32:44,0,0
2020-06-03,04:32:45,0,0
2020-06-03,04:32:46,0,0
2020-06-03,04:32:47,0,0
2020-06-03,04:32:48,0,0
2020-06-03,04:32:49,0,0
2020-06-03,04:32:50,0,0
2020-06-03,04:32:51,0,0
2020-06-03,04:32:52,0,0
2020-06-03,04:32:53,0,0
2020-06-03,04:32:54,0,0
2020-06-03,04:32:55,0,0
2020-06-03,04:32:56,0,0
2020-06-03,04:32:57,0,0
2020-06-03,04:38:26,0,0
2020-06-03,04:38:27,0,0
2020-06-03,04:38:28,0,0
2020-06-03,04:38:30,0,0
2020-06-03,04:38:31,0,0
2020-06-03,04:38:32,0,0
2020-06-03,04:38:33,1,0
2020-06-03,04:38:34,1,0
2020-06-03,04:38:35,1,0
2020-06-03,04:38:36,1,0
2020-06-03,04:38:37,1,0
2020-06-03,04:38:38,1,0
2020-06-03,04:38:39,1,0
2020-06-03,04:38:40,2,0
2020-06-03,04:38:41,2,0
2020-06-03,04:38:42,4,0
2020-06-03,04:38:43,4,0
2020-06-03,04:38:44,4,0
2020-06-03,04:38:45,4,0
2020-06-03,04:38:46,4,0
2020-06-03,04:38:47,4,0
2020-06-03,04:38:48,4,0
2020-06-03,04:38:49,4,2
2020-06-03,04:38:50,4,2
2020-06-03,04:38:51,4,2
2020-06-03,04:38:52,5,2
2020-06-03,04:38:53,5,2
2020-06-03,04:38:54,5,2
2020-06-03,04:38:55,5,2
2020-06-03,04:38:56,5,2
2020-06-03,04:38:57,5,2
2020-06-03,04:38:58,5,2
2020-06-03,04:38:59,5,2
2020-06-03,04:39:00,7,3
2020-06-03,04:39:01,7,3
2020-06-03,04:39:02,7,3
2020-06-03,04:39:03,7,3
2020-06-03,04:39:04,7,3
2020-06-03,04:39:05,7,3
2020-06-03,04:42:00,0,0
2020-06-03,04:42:01,0,0
2020-06-03,04:42:02,0,0
2020-06-03,04:42:04,0,0
2020-06-03,04:42:05,0,0
2020-06-03,04:42:06,0,0
2020-06-03,04:42:07,1,0
2020-06-03,04:42:08,1,0
2020-06-03,04:42:09,1,0
2020-06-03,04:42:10,1,0
2020-06-03,04:42:11,1,0
2020-06-03,04:42:12,1,0
2020-06-03,04:42:13,1,0
2020-06-03,04:42:14,2,0
2020-06-03,04:42:15,2,0
2020-06-03,04:42:16,3,0
2020-06-03,04:42:17,4,0
2020-06-03,04:42:18,4,0
2020-06-03,04:42:19,4,0
2020-06-03,04:42:20,4,0
2020-06-03,04:42:21,4,0
2020-06-03,04:42:22,4,0
2020-06-03,04:42:23,4,2
2020-06-03,04:42:24,4,2
2020-06-03,04:42:25,4,2
2020-06-03,04:42:26,5,2
2020-06-03,04:42:27,5,2
2020-06-03,04:42:28,5,2
2020-06-03,04:42:29,5,2
2020-06-03,04:42:30,5,2
2020-06-03,04:42:31,5,2
2020-06-03,04:42:32,5,2
2020-06-03,04:42:33,5,2
2020-06-03,04:42:34,7,3
2020-06-03,04:42:35,7,3
2020-06-03,04:42:36,7,3
2020-06-03,04:42:37,7,3
2020-06-03,04:42:38,7,3
2020-06-03,04:42:39,7,3
2020-06-03,04:44:28,0,0
2020-06-03,04:44:29,0,0
2020-06-03,04:44:30,0,0
2020-06-03,04:44:31,1,0
2020-06-03,04:44:32,1,0
2020-06-03,04:44:33,1,0
2020-06-03,04:44:34,1,0
2020-06-03,04:44:35,1,0
2020-06-03,04:44:36,1,0
2020-06-03,04:48:23,0,0
2020-06-03,04:48:24,0,0
2020-06-03,04:48:25,1,0
2020-06-03,04:48:26,1,0
2020-06-03,04:48:27,1,0
2020-06-03,04:48:28,1,0
2020-06-03,04:48:29,1,0
2020-06-03,04:48:30,1,0
2020-06-03,04:48:31,1,0
2020-06-03,04:48:32,1,0
2020-06-03,04:48:33,2,0
2020-06-03,04:48:34,3,0
2020-06-03,04:48:35,4,0
2020-06-03,04:48:36,0,0
2020-06-03,04:48:37,0,0
2020-06-03,04:48:38,0,0
2020-06-03,04:48:39,0,0
2020-06-03,04:48:40,0,0
2020-06-03,04:48:41,0,0
2020-06-03,04:48:42,0,0
2020-06-03,04:50:19,0,0
2020-06-03,04:50:20,0,0
2020-06-03,04:50:21,0,0
2020-06-03,04:50:22,0,0
2020-06-03,04:50:23,0,0
2020-06-03,04:50:24,0,0
2020-06-03,04:50:25,0,0
2020-06-03,04:50:29,0,0
2020-06-03,04:50:30,0,0
2020-06-03,04:50:31,0,0
2020-06-03,04:50:32,1,0
2020-06-03,04:50:33,1,0
2020-06-03,04:50:34,1,0
2020-06-03,04:50:35,1,0
2020-06-03,04:50:36,1,0
2020-06-03,04:50:37,1,0
2020-06-03,04:50:38,1,0
2020-06-03,04:50:39,1,0
2020-06-03,04:50:40,2,0
2020-06-03,04:50:41,2,0
2020-06-03,04:50:42,3,0
2020-06-03,04:50:43,4,0
2020-06-03,04:50:44,4,0
2020-06-03,04:50:45,4,0
2020-06-03,04:50:46,4,0
2020-06-03,04:50:47,4,0
2020-06-03,04:50:48,4,0
2020-06-03,04:50:49,4,0
2020-06-03,04:50:50,4,2
2020-06-03,04:50:51,4,2
2020-06-03,04:50:52,4,2
2020-06-03,04:50:53,4,2
2020-06-03,04:50:54,5,2
2020-06-03,04:50:55,5,2
2020-06-03,04:50:56,5,2
2020-06-03,04:50:57,5,2
2020-06-03,04:50:58,5,2
2020-06-03,04:50:59,5,2
2020-06-03,04:51:00,5,2
2020-06-03,04:51:01,5,2
2020-06-03,04:51:02,5,2
2020-06-03,04:51:03,7,3
2020-06-03,04:51:04,7,3
2020-06-03,04:51:05,7,3
2020-06-03,05:43:47,0,0
2020-06-03,05:43:48,0,0
2020-06-03,05:43:49,1,0
2020-06-03,05:43:50,0,0
2020-06-03,05:43:51,0,0
2020-06-03,05:44:32,0,0
2020-06-03,05:44:33,0,0
2020-06-03,05:44:36,0,0
2020-06-03,05:44:37,0,0
2020-06-03,05:44:40,0,0
2020-06-03,05:44:41,0,0
2020-06-03,05:44:42,1,0
2020-06-03,05:44:43,1,0
2020-06-03,06:05:23,0,0
2020-06-03,06:05:24,0,0
2020-06-03,06:05:25,0,0
2020-06-03,06:05:26,0,0
2020-06-03,06:08:02,0,0
2020-06-03,06:08:03,0,0
2020-06-03,06:12:31,0,0
2020-06-03,06:12:32,0,0
2020-06-03,06:15:28,0,0
2020-06-03,06:15:29,0,0
2020-06-03,06:15:30,0,0
2020-06-03,06:15:31,1,0
2020-06-03,06:15:32,1,0
2020-06-03,06:15:33,1,0
2020-06-03,06:15:34,1,0
2020-06-03,06:15:35,1,0
2020-06-03,06:15:36,1,0
2020-06-03,06:15:37,1,0
2020-06-03,06:15:38,2,0
2020-06-03,06:15:39,2,0
2020-06-03,06:15:40,3,0
2020-06-03,06:15:41,4,0
2020-06-03,06:15:42,4,0
2020-06-03,06:15:43,4,0
2020-06-03,06:15:44,4,0
2020-06-03,06:15:45,4,0
2020-06-03,06:15:46,4,0
2020-06-03,06:15:47,4,2
2020-06-03,06:15:48,4,2
2020-06-03,06:15:49,4,2
2020-06-03,06:15:50,5,2
2020-06-03,06:15:51,5,2
2020-06-03,06:15:52,5,2
2020-06-03,06:15:53,5,2
2020-06-03,06:15:54,0,0
2020-06-03,06:15:55,0,0
2020-06-03,06:20:11,0,0
2020-06-03,06:20:12,0,0
2020-06-03,06:20:13,0,0
2020-06-03,06:20:14,1,0
2020-06-03,06:20:15,1,0
2020-06-03,06:20:16,1,0
2020-06-03,06:20:17,1,0
2020-06-03,06:20:18,1,0
2020-06-03,06:20:19,1,0
2020-06-03,06:25:58,0,0
2020-06-03,06:25:59,0,0
2020-06-03,06:26:00,0,0
2020-06-03,06:26:01,0,0
2020-06-03,06:26:02,0,0
2020-06-03,06:26:03,0,0
2020-06-03,06:26:04,0,0
2020-06-03,06:26:05,0,0
2020-06-03,06:26:06,0,0
2020-06-03,06:26:09,0,0
2020-06-03,06:26:10,0,0
2020-06-03,06:26:11,0,0
2020-06-03,06:26:12,1,0
2020-06-03,06:26:13,1,0
2020-06-03,06:26:14,1,0
2020-06-03,06:26:15,1,0
2020-06-03,06:26:16,1,0
2020-06-03,06:26:17,1,0
2020-06-03,06:26:18,1,0
2020-06-03,06:26:19,2,0
2020-06-03,06:26:20,2,0
2020-06-03,06:26:21,3,0
2020-06-03,06:26:22,4,0
2020-06-03,06:26:23,4,0
2020-06-03,06:26:24,4,0
2020-06-03,07:33:53,0,0
2020-06-03,07:33:54,0,0
2020-06-03,07:33:55,0,0
2020-06-03,07:33:56,1,0
2020-06-03,07:37:20,0,0
2020-06-03,08:07:11,0,0
2020-06-03,08:07:12,0,0
2020-06-03,08:07:13,0,0
2020-06-03,08:07:14,1,0
2020-06-03,08:07:15,1,0
2020-06-03,08:07:16,1,0
2020-06-03,08:07:17,1,0
2020-06-03,08:07:18,1,0
2020-06-03,08:07:19,1,0
2020-06-03,08:07:20,1,0
2020-06-03,08:07:21,1,0
2020-06-03,08:07:22,2,0
2020-06-03,08:51:29,0,0
2020-06-03,08:51:30,0,0
2020-06-03,08:51:31,0,0
2020-06-03,08:51:32,1,0
2020-06-03,08:51:33,1,0
2020-06-03,08:51:34,1,0
2020-06-03,08:51:35,1,0
2020-06-03,08:52:09,0,0
2020-06-03,08:52:10,0,0
2020-06-03,08:52:11,0,0
2020-06-03,08:52:12,0,0
2020-06-03,08:52:13,0,0
2020-06-03,08:52:14,0,0
2020-06-03,08:52:15,0,0
2020-06-03,08:52:16,0,0
2020-06-03,08:52:17,0,0
2020-06-03,08:52:18,0,0
2020-07-27,10:20:46,0,0
2020-07-27,10:20:47,0,0
2020-07-27,10:20:48,0,0
2020-07-27,10:20:49,0,0
2020-07-27,10:20:50,1,0
2020-07-27,10:20:51,1,0
2020-07-27,10:20:52,1,0
2020-07-27,10:20:53,1,0
2020-07-27,10:20:54,1,0
2020-07-27,10:20:55,1,0
2020-07-27,10:20:56,1,0
2020-07-27,10:20:57,1,0
2020-07-27,10:20:58,1,0
2020-07-27,10:20:59,1,0
2020-07-27,10:21:00,1,0
2020-07-27,10:26:40,0,0
2020-07-27,10:26:41,0,0
2020-07-27,10:26:42,0,0
2020-07-27,10:26:43,0,0
2020-07-27,10:26:44,1,0
2020-07-27,10:26:45,1,0
2020-07-27,10:26:46,1,0
2020-07-27,10:26:47,1,0
2020-07-27,10:26:48,1,0
2020-07-27,10:26:49,1,0
2020-07-27,10:26:50,1,0
2020-07-27,10:26:51,1,0
2020-07-27,10:26:52,1,0
2020-07-27,10:26:53,1,0
2020-07-27,10:26:54,1,0
2020-07-27,10:26:55,1,0
2020-07-27,10:26:56,1,0
2020-07-27,10:26:57,1,0
2020-07-27,10:26:58,1,0
2020-07-27,10:26:59,2,0
2020-07-27,10:27:00,2,0
2020-07-27,10:27:01,2,0
2020-07-27,10:27:02,2,0
2020-07-27,10:27:03,3,0
2020-07-27,10:27:04,4,0
2020-07-27,10:27:05,4,0
2020-07-27,10:27:06,4,0
2020-07-27,10:27:07,4,0
2020-07-27,10:27:08,4,0
2020-07-27,10:27:09,4,0
2020-07-27,10:27:10,4,0
2020-07-27,10:27:18,0,0
2020-07-27,10:27:19,0,0
2020-07-27,10:27:20,0,0
2020-07-29,05:03:20,0,0
2020-07-29,05:03:21,0,0
2020-07-29,05:03:22,0,0
2020-07-29,05:03:23,0,0
2020-07-29,05:03:24,1,0
2020-07-29,05:03:25,1,0
2020-07-29,05:03:26,1,0
2020-07-29,05:03:27,2,0
2020-07-29,05:03:28,2,0
2020-07-29,05:03:29,2,0
2020-07-29,05:03:30,2,0
2020-07-29,05:03:31,4,0
2020-07-29,05:03:32,4,0
2020-07-29,05:03:33,4,0
2020-07-29,05:03:34,5,0
2020-07-29,05:03:35,5,0
2020-07-29,05:03:36,5,0
2020-07-29,05:03:37,5,0
2020-07-29,05:03:38,5,0
2020-07-29,05:03:39,5,0
2020-07-29,05:03:40,6,0
2020-07-29,05:03:41,6,0
2020-07-29,05:03:42,6,0
2020-07-29,05:03:43,7,0
2020-07-29,05:03:44,8,0
2020-07-29,05:03:45,8,0
2020-07-29,05:03:46,8,0
2020-07-29,05:03:47,10,0
2020-07-29,05:03:48,10,0
2020-07-29,05:03:49,10,0
2020-07-29,05:03:50,11,0
2020-07-29,05:03:51,11,0
2020-07-29,05:03:52,13,0
2020-07-29,05:03:53,13,0
2020-07-29,05:03:54,13,1
2020-07-29,05:03:55,13,1
2020-07-29,05:03:56,14,2
2020-07-29,05:03:57,14,2
2020-07-29,05:03:58,14,2
2020-07-29,05:03:59,16,2
2020-07-29,05:04:00,16,2
2020-07-29,05:04:01,16,2
2020-07-29,05:04:02,17,2
2020-07-29,05:04:03,17,2
2020-07-29,05:04:04,17,2
2020-07-29,06:33:09,0,0
2020-07-29,06:33:10,2,0
2020-07-29,06:33:11,2,0
2020-07-29,06:33:12,2,0
2020-07-29,06:33:13,2,0
2020-07-29,06:33:14,2,0
2020-07-29,06:33:15,2,0
2020-07-29,06:33:16,2,0
2020-07-29,06:33:17,2,0
2020-07-29,06:33:18,2,0
2020-07-29,06:33:19,2,0
2020-07-29,06:33:20,2,0
2020-07-29,06:33:21,2,1
2020-07-29,06:33:22,2,1
2020-07-29,06:33:23,2,1
2020-07-29,06:33:24,2,1
2020-07-29,06:33:25,2,1
2020-07-29,06:33:26,3,1
2020-07-29,06:33:27,3,1
2020-07-29,06:33:28,3,1
2020-07-29,06:33:29,3,1
2020-07-29,06:33:30,3,1
2020-07-29,06:33:31,3,1
2020-07-29,06:33:32,3,1
2020-07-29,06:33:33,3,1
2020-07-29,06:33:34,3,1
2020-07-29,06:33:35,3,1
2020-07-29,06:33:36,3,1
2020-07-29,06:33:37,3,1
2020-07-29,06:33:38,3,1
2020-07-29,06:33:39,4,1
2020-07-29,06:33:40,4,1
2020-07-29,06:33:41,4,1
2020-07-29,06:33:42,4,1
2020-07-29,06:33:43,4,1
2020-07-29,06:33:44,5,2
2020-07-29,06:33:45,5,2
2020-07-29,06:33:46,5,2
2020-07-29,06:33:47,5,2
2020-07-29,06:33:48,6,2
2020-07-29,06:33:49,6,2
2020-07-29,06:33:50,6,2
2020-07-29,06:33:51,6,2
2020-07-29,06:33:52,6,2
2020-07-29,06:33:53,6,2
2020-07-29,06:33:54,6,2
2020-07-29,06:33:55,6,2
2020-07-29,06:33:56,6,2
2020-07-29,06:33:57,6,2
2020-07-29,06:33:58,6,2
2020-07-29,06:33:59,7,2
2020-07-29,06:34:00,7,2
2020-07-29,06:34:01,7,2
2020-07-29,06:34:02,7,2
2020-07-29,06:34:03,7,2
2020-07-29,06:34:04,7,2
2020-07-29,06:34:05,7,2
2020-07-29,06:34:06,8,2
2020-07-29,06:34:07,8,2
2020-07-29,06:34:08,8,3
2020-07-29,06:34:09,8,4
2020-07-29,06:34:10,8,4
2020-07-29,06:34:11,8,4
2020-07-29,06:34:12,8,4
2020-07-29,06:34:13,8,5
2020-07-29,06:34:14,8,5
2020-07-29,06:34:15,8,5
2020-07-29,06:34:16,8,5
2020-07-29,06:34:17,8,5
2020-07-29,06:34:18,8,5
2020-07-29,06:34:19,8,6
2020-07-29,06:34:20,8,6
2020-07-29,06:34:21,9,6
2020-07-29,06:34:22,9,6
2020-07-29,06:34:23,9,8
2020-07-29,06:34:24,9,8
2020-07-29,06:34:25,9,8
2020-07-29,06:34:26,10,8
2020-07-29,06:34:27,10,8
2020-07-29,06:34:28,10,8
2020-07-29,06:34:29,10,8
2020-07-29,06:34:30,10,9
2020-07-29,06:34:31,10,9
2020-07-29,06:34:32,10,10
2020-07-29,06:34:33,10,11
2020-07-29,06:34:34,10,11
2020-07-29,06:34:35,10,11
2020-07-29,06:34:36,10,11
2020-07-29,06:34:37,10,11
2020-07-29,06:34:38,10,11
2020-07-29,06:34:39,10,11
2020-07-29,06:34:40,10,11
2020-07-29,06:34:41,10,11
2020-07-29,06:34:42,10,11
2020-07-29,06:34:43,10,11
2020-07-29,06:34:44,10,12
2020-07-29,06:34:45,10,12
2020-07-29,06:34:46,10,12
2020-07-29,06:34:47,10,12
2020-07-29,06:34:48,11,12
2020-07-29,06:34:49,11,12
2020-07-29,06:34:50,11,12
2020-07-29,06:34:51,12,12
2020-07-29,06:34:52,12,12
2020-07-29,06:34:53,12,12
2020-07-29,06:34:54,13,13
2020-07-29,06:34:55,13,13
2020-07-29,06:34:56,13,13
2020-07-29,06:34:57,13,13
2020-07-29,06:34:58,13,13
2020-07-29,06:34:59,14,13
2020-07-29,06:35:00,14,13
2020-07-29,06:35:01,14,13
2020-07-29,06:35:02,14,13
2020-07-29,06:35:03,14,13
2020-07-29,06:35:04,14,13
2020-07-29,06:35:05,15,13
2020-07-29,06:35:06,15,13
2020-07-29,06:35:07,15,14
2020-07-29,06:35:08,15,15
2020-07-29,06:35:09,15,15
2020-07-29,06:35:10,15,15
2020-07-29,06:35:11,15,15
2020-07-29,06:35:12,15,15
2020-07-29,06:35:13,15,15
2020-07-29,06:35:14,15,15
2020-07-29,06:35:15,17,15
2020-07-29,06:35:16,17,15
2020-07-29,06:35:17,18,15
2020-07-29,06:35:18,18,15
2020-07-29,06:35:19,18,15
2020-07-29,06:35:20,18,15
2020-07-29,06:35:21,18,17
2020-07-29,06:35:22,18,17
2020-07-29,06:35:23,18,17
2020-07-29,06:35:24,18,17
2020-07-29,06:35:25,18,17
2020-07-29,06:35:26,18,17
